id;nocivq;nocivqsuf;odorecnorm;adresse;secteur;codpos
1;1; ;Rue Naud;1, Rue Naud;Sullivan;J9P4W7
2;1; ;Rue Amikobi;1, Rue Amikobi;Lac-Simon;J0Y3M0
3;1; ;Rue du Parc-Benny;1, Rue du Parc-Benny;Val-d'Or;J9P2P6
4;1; ;Sentier des FougËres;1, Sentier des FougËres;Sullivan;J9P0B9
5;1; ;4e Avenue;1, 4e Avenue;Val-d'Or;J9P1E9
6;1; ;Rue des Panneaux;1, Rue des Panneaux;Val-d'Or;J9P7A1
7;1; ;Chemin de la Baie-Jolie;1, Chemin de la Baie-Jolie;Val-d'Or;J9P7B5
8;1; ;Rue Grenier;1, Rue Grenier;Sullivan;J9P0B9
9;1; ;Chemin Proulx;1, Chemin Proulx;Vassan;J9P0C1
10;1; ;Rue Leclerc;1, Rue Leclerc;Vassan;J9P0C1
11;1; ;Rue Ogima;1, Rue Ogima;Lac-Simon;J0Y3M0
12;1; ;Rue Cicip;1, Rue Cicip;Lac-Simon;J0Y3M0
13;1; ;Rue Mohigan;1, Rue Mohigan;Lac-Simon;J0Y3M0
14;1; ;Rue Wabinok;1, Rue Wabinok;Lac-Simon;J0Y3M0
15;1; ;Rue Quabie;1, Rue Quabie;Lac-Simon;J0Y3M0
16;1; ;Rue des CËdres;1, Rue des CËdres;Val-d'Or;J9P4S3
17;1; ;Rue des Sapins;1, Rue des Sapins;Val-d'Or;J9P4R4
18;1; ;10e Avenue;1, 10e Avenue;Val-d'Or;J9P5E5
19;1; ;Rue La VÈrendrye;1, Rue La VÈrendrye;Val-d'Or;J9P3H9
20;1; ;Place Guillemette;1, Place Guillemette;Val-d'Or;J9P3M6
21;1; ;Chemin Harricana;1, Chemin Harricana;Sullivan;J9P0B9
22;1; ;Rue Fortin;1, Rue Fortin;Sullivan;J9P0B9
23;1; ;Rue Jones;1, Rue Jones;Sullivan;J9P0B9
24;1; ;Rue Laflamme;1, Rue Laflamme;Sullivan;J9P0B9
25;1; ;Rue Kwepi;1, Rue Kwepi;Lac-Simon;J0Y3M0
26;1; ;Rue Marchand;1, Rue Marchand;Val-d'Or;J9P2S4
27;1; ;Rue Nelson;1, Rue Nelson;Val-d'Or;J9P2Z5
28;1; ;Rue de la Bourgade;1, Rue de la Bourgade;Sullivan;J9P0B9
29;1; ;Chemin Peter Ferderber;1, Chemin Peter Ferderber;Val-d'Or;J9P7B9
30;1; ;Chemin des Scouts;1, Chemin des Scouts;Val-d'Or;J9P7A8
31;1; ;Rue Turgeon;1, Rue Turgeon;Val-d'Or;J9P0A6
32;1; ;Rue Roland-MassÈ;1, Rue Roland-MassÈ;Val-d'Or;J9P0E3
33;1; ;Rue Lebuis;1, Rue Lebuis;Sullivan;J9P0B9
34;2; ;Rue du Parc-Benny;2, Rue du Parc-Benny;Val-d'Or;J9P2P7
35;2; ;Chemin du Pont-Champagne;2, Chemin du Pont-Champagne;Vassan;J9P0C1
36;2; ;Rue Cicip;2, Rue Cicip;Lac-Simon;J0Y3M0
37;2; ;Rue Ogima;2, Rue Ogima;Lac-Simon;J0Y3M0
38;2; ;Rue Mohigan;2, Rue Mohigan;Lac-Simon;J0Y3M0
39;2; ;Rue Wabinok;2, Rue Wabinok;Lac-Simon;J0Y3M0
40;2; ;Rue Quabie;2, Rue Quabie;Lac-Simon;J0Y3M0
41;2; ;Rue des CËdres;2, Rue des CËdres;Val-d'Or;J9P4S4
42;2; ;Rue des Peupliers;2, Rue des Peupliers;Val-d'Or;J9P2S1
43;2; ;Rue PauzÈ;2, Rue PauzÈ;Val-d'Or;J9P5E9
44;2; ;Rue des Sapins;2, Rue des Sapins;Val-d'Or;J9P4R3
45;2; ;Rue Pierret;2, Rue Pierret;Val-d'Or;J9P5C7
46;2; ;Place Guillemette;2, Place Guillemette;Val-d'Or;J9P3M7
47;2; ;Rue Jones;2, Rue Jones;Sullivan;J9P0B9
48;2; ;Rue Groleau;2, Rue Groleau;Sullivan;J9P0B9
49;2; ;Rue Lejeune;2, Rue Lejeune;Sullivan;J9P0B9
50;2; ;Chemin Leblanc;2, Chemin Leblanc;Vassan;J9P0C1
